yr,colony,species,breedpairs,prod(fledge/pair),nfledged,prop herring,majority diet
2009,Stratton,Common,1037,1.74,1804.38,0.4151,herring
2010,Stratton,Common,857,0.67,574.19,0.3427,herring
2011,Stratton,Common,960,1.75,1680,0.201,hake
2012,Stratton,Common,1033,2.02,2086.66,0.59,herring
2013,Stratton,Common,1284,1.41,1810.44,0.16,sandlance
2014,Stratton,Common,1314,1.29,1695.06,0.11,sandlance
2015,Stratton,Common,1395,0.89,1241.55,0.07,sandlance
2016,Stratton,Common,825,1,825,,
2002,White and Seavey,Arctic,1,0,0,,
2003,White and Seavey,Arctic,4,1,4,,
2004,White and Seavey,Arctic,5,0.6,3,,
2005,White and Seavey,Arctic,7,0.83,5.81,,
2006,White and Seavey,Arctic,6,0.75,4.5,,
2007,White and Seavey,Arctic,5,0.6,3,,
2008,White and Seavey,Arctic,6,0.67,4.02,,
2009,White and Seavey,Arctic,6,0.33,1.98,,
2010,White and Seavey,Arctic,6,1.5,9,,
2011,White and Seavey,Arctic,3,0.33,0.99,,
2012,White and Seavey,Arctic,4,1,4,,
2013,White and Seavey,Arctic,2,2,4,,
2014,White and Seavey,Arctic,3,1.33,3.99,,
2015,White and Seavey,Arctic,2,0.5,1,,
2016,White and Seavey,Arctic,,0.5,,,
1997,White and Seavey,Common,6,1,6,,
1998,White and Seavey,Common,45,1.52,68.4,0,hake
1999,White and Seavey,Common,80,2.24,179.2,0.109,hake
2000,White and Seavey,Common,318,1.79,569.22,0.0664,hake
2001,White and Seavey,Common,447,1.68,750.96,0.464,herring
2002,White and Seavey,Common,1273,1.63,2074.99,0.0252,hake
2003,White and Seavey,Common,2414,1.33,3210.62,,
2004,White and Seavey,Common,2582,0.75,1936.5,,
2005,White and Seavey,Common,2033,0.76,1545.08,0.0404,hake
2006,White and Seavey,Common,1736,0.6,1041.6,0,hake
2007,White and Seavey,Common,2121,1.22,2587.62,0.2013,hake  
2008,White and Seavey,Common,2011,1.28,2574.08,0.2723,hake
2009,White and Seavey,Common,1993,1.23,2451.39,0.422,herring
2010,White and Seavey,Common,2251,1.81,4074.31,,
2011,White and Seavey,Common,2447,1.43,3499.21,0.1563,hake
2012,White and Seavey,Common,2044,0.94,1921.36,0.56,herring
2013,White and Seavey,Common,2269,1.3,2949.7,0.3207,hake
2014,White and Seavey,Common,2548,0.81,2063.88,0.2708,hake
2015,White and Seavey,Common,2262,1.11,2510.82,0.1862,hake
2016,White and Seavey,Common,2895,0.8,2316,,
